doc_id,file_name
5XP1-2KK1-JC6P-C4NW-00000-00,crime_query_results_780.json
5TJJ-VWS1-JC6P-C4R1-00000-00,crime_query_results_780.json
5WW0-2811-DYNS-3183-00000-00,crime_query_results_850.json
5XHY-M8H1-JC6P-C4PF-00000-00,crime_query_results_850.json
5WRS-GK71-JC6P-C467-00000-00,crime_query_results_850.json
5T3B-NF91-JC6P-C1V5-00000-00,crime_query_results_850.json
5XC2-4971-DYNS-344X-00000-00,crime_query_results_850.json
5TKH-PVD1-DYNS-3339-00000-00,crime_query_results_1270.json
5T50-SWS1-JC6P-C2GK-00000-00,crime_query_results_1030.json
5XB5-M1J1-JC6P-C3K7-00000-00,crime_query_results_1030.json
5W5H-2KR1-JC6P-C3JN-00000-00,crime_query_results_1460.json
5W5J-PN21-DYNS-329F-00000-00,crime_query_results_1460.json
6416-VMP1-DY8S-B283-00000-00,crime_query_results_299.json
5RWV-4371-DYNS-349Y-00000-00,crime_query_results_1010.json
5RKJ-HX91-DYNS-32XV-00000-00,crime_query_results_1010.json
649Y-TT51-DY8S-B2DS-00000-00,crime_query_results_630.json
5VBG-WT21-DYNS-31HR-00000-00,crime_query_results_630.json
5T28-TDK1-JC6P-C059-00000-00,crime_query_results_630.json
5SYR-5641-DYNS-32T7-00000-00,crime_query_results_1180.json
5W07-DYY1-DYNS-326K-00000-00,crime_query_results_470.json
5WD5-T751-DYNS-351P-00000-00,crime_query_results_870.json
5X4F-2F51-JC6P-C2GV-00000-00,crime_query_results_870.json
5X4F-2F51-JC6P-C2GD-00000-00,crime_query_results_870.json
5X28-6DK1-JC6P-C1VR-00000-00,crime_query_results_870.json
5TFT-7BG1-JC6P-C3BX-00000-00,crime_query_results_870.json
5X0S-D5J1-JC6P-C11G-00000-00,crime_query_results_870.json
5VGR-T0R1-DYNS-32MW-00000-00,crime_query_results_870.json
5W6D-K7H1-DYNS-3054-00000-00,crime_query_results_870.json
5SWC-G6V1-DYNS-337S-00000-00,crime_query_results_760.json
5WN6-VBH1-DYNS-310N-00000-00,crime_query_results_760.json
5SV2-15T1-DYNS-34GY-00000-00,crime_query_results_760.json
5TVN-X7R1-JC6P-C2ND-00000-00,crime_query_results_1290.json
60F8-5FV1-JC6P-C4V3-00000-00,crime_query_results_1510.json
5RMV-C311-DYNS-33K3-00000-00,crime_query_results_1750.json
5X2F-3NS1-DYNS-32DK-00000-00,crime_query_results_1750.json
5V1T-6P31-JC6P-C0P8-00000-00,crime_query_results_1750.json
5XR2-XKS1-DYNS-3535-00000-00,crime_query_results_1750.json
5XPN-0621-JC6P-C3TD-00000-00,crime_query_results_1750.json
5W19-8WF1-JC6P-C00P-00000-00,crime_query_results_1750.json
5W25-5PJ1-DYNS-3006-00000-00,crime_query_results_1750.json
5RXN-G9T1-JC6P-C4KP-00000-00,crime_query_results_1750.json
5XKW-BXV1-DYNS-3439-00000-00,crime_query_results_1750.json
5VX3-R681-DYNS-337B-00000-00,crime_query_results_1750.json
5WR4-JWC1-JC6P-C350-00000-00,crime_query_results_1750.json
5SJM-NKV1-JC6P-C2XC-00000-00,crime_query_results_1750.json
5VW7-VBH1-JC6P-C094-00000-00,crime_query_results_1750.json
5TVN-X7R1-JC6P-C2NG-00000-00,crime_query_results_1750.json
5VVC-YJW1-DYNS-34VK-00000-00,crime_query_results_1750.json
5XGN-T801-DYNS-32HV-00000-00,crime_query_results_1750.json
5TRG-BKC1-JC6P-C2DJ-00000-00,crime_query_results_1750.json
5RS7-X0W1-DYNS-30X7-00000-00,crime_query_results_1750.json
5WP8-P821-JC6P-C1M4-00000-00,crime_query_results_1750.json
5TKH-PVD1-DYNS-3330-00000-00,crime_query_results_1750.json
5WB2-3CT1-JC6P-C15D-00000-00,crime_query_results_1750.json
5WJF-6WW1-DYNS-31TG-00000-00,crime_query_results_1750.json
5WKN-D8B1-DYNS-33FR-00000-00,crime_query_results_1750.json
5XBR-FDR1-DYNS-33VS-00000-00,crime_query_results_1750.json
5XBD-8GV1-JC6P-C198-00000-00,crime_query_results_1750.json
5VFN-Y261-JC6P-C3HV-00000-00,crime_query_results_1750.json
5TG1-6HV1-JC6P-C2KD-00000-00,crime_query_results_1750.json
5TGF-4W71-JC6P-C0DT-00000-00,crime_query_results_1750.json
5TH3-2C81-DYNS-30M8-00000-00,crime_query_results_1750.json
5SH4-WBY1-DYNS-326B-00000-00,crime_query_results_1750.json
5Y09-XVP1-JC6P-C531-00000-00,crime_query_results_1750.json
5VF3-NG21-JC6P-C4HW-00000-00,crime_query_results_1750.json
5S5S-58J1-DYNS-33X8-00000-00,crime_query_results_1750.json
5VD7-SP71-DYNS-300J-00000-00,crime_query_results_1750.json
5T8F-YR01-DYNS-349Y-00000-00,crime_query_results_1750.json
5X3X-X4W1-DYNS-31DS-00000-00,crime_query_results_1750.json
5W8G-N9K1-DYNS-3010-00000-00,crime_query_results_1750.json
5X5G-X711-DYNS-3008-00000-00,crime_query_results_1750.json
5S48-C0H1-JC6P-C4HC-00000-00,crime_query_results_1750.json
5W5B-RDT1-DYNS-34FW-00000-00,crime_query_results_1750.json
5T0K-20M1-DYNS-3122-00000-00,crime_query_results_1750.json
5SST-V0K1-DYNS-322X-00000-00,crime_query_results_1750.json
5W2K-3XT1-DYNS-3007-00000-00,crime_query_results_1750.json
5WXN-TPX1-JC6P-C3VY-00000-00,crime_query_results_1750.json
5W13-9P91-DYNS-34FB-00000-00,crime_query_results_1750.json
5WWD-0MN1-JC6P-C3JH-00000-00,crime_query_results_1750.json
5XK1-G381-DYNS-312T-00000-00,crime_query_results_1750.json
5WY3-S221-JC6P-C3M4-00000-00,crime_query_results_1750.json
5SSK-VTS1-DYNS-32YH-00000-00,crime_query_results_1750.json
5WT8-8V81-DYNS-350N-00000-00,crime_query_results_1750.json
5TX5-PK71-JC6P-C1KG-00000-00,crime_query_results_1750.json
5VY5-K031-JC6P-C3SR-00000-00,crime_query_results_1750.json
5STN-PRH1-JC6P-C3WP-00000-00,crime_query_results_1750.json
5RCY-NCJ1-DYNS-31B1-00000-00,crime_query_results_1750.json
5XGW-SCP1-DYNS-32D7-00000-00,crime_query_results_1750.json
5TV2-0T41-DYNS-33M8-00000-00,crime_query_results_1750.json
5TSP-HRX1-JC6P-C379-00000-00,crime_query_results_1750.json
5TP6-HDT1-DYNS-300K-00000-00,crime_query_results_1750.json
5WN0-W4S1-JC6P-C2VV-00000-00,crime_query_results_1750.json
5RS1-XRN1-DYNS-332H-00000-00,crime_query_results_1750.json
5TM2-N291-JC6P-C186-00000-00,crime_query_results_1750.json
5RJN-1911-DYNS-300C-00000-00,crime_query_results_1750.json
5XB5-M1J1-JC6P-C3KN-00000-00,crime_query_results_1750.json
5THH-0SW1-DYNS-335M-00000-00,crime_query_results_1750.json
5X98-35D1-JC6P-C4D1-00000-00,crime_query_results_1750.json
5SCW-G9B1-JC6P-C066-00000-00,crime_query_results_1750.json
5S83-VB71-DYNS-33TV-00000-00,crime_query_results_1750.json
5X8D-9X61-DYNS-32PK-00000-00,crime_query_results_1750.json
5T9R-SXW1-JC6P-C2TM-00000-00,crime_query_results_1750.json
5RDW-5WB1-DYNS-32C1-00000-00,crime_query_results_1750.json
5X6X-GT41-JC6P-C1KG-00000-00,crime_query_results_1750.json
5WDK-RNB1-JC6P-C32G-00000-00,crime_query_results_1750.json
5SX1-CN61-JC6P-C49X-00000-00,crime_query_results_920.json
5YHV-0TP1-DYNS-313B-00000-00,crime_query_results_920.json
5SNM-86J1-JC6P-C4BN-00000-00,crime_query_results_920.json
5TW9-TWM1-DYNS-34P6-00000-00,crime_query_results_520.json
5SKP-HK41-DYNS-32R8-00000-00,crime_query_results_520.json
5T8N-XX11-JC6P-C536-00000-00,crime_query_results_1480.json
5SJ6-R831-DYNS-30DP-00000-00,crime_query_results_1770.json
5S77-YJX1-JC6P-C3FM-00000-00,crime_query_results_1770.json
5TFK-8431-DYNS-34FX-00000-00,crime_query_results_1770.json
5TDY-BK01-DYNS-32TK-00000-00,crime_query_results_1770.json
5TBK-NHS1-JC6P-C0N0-00000-00,crime_query_results_1770.json
5TW2-RK21-JC6P-C2TD-00000-00,crime_query_results_1770.json
5S59-3NV1-DYNS-32SB-00000-00,crime_query_results_1770.json
5S0C-7TW1-JC6P-C328-00000-00,crime_query_results_1770.json
5W1Y-6DH1-DYNS-30KX-00000-00,crime_query_results_1770.json
5T4M-GGB1-JC6P-C2KW-00000-00,crime_query_results_1770.json
5RSD-7BB1-DYNS-31J6-00000-00,crime_query_results_1770.json
5RSV-NYG1-JC6P-C15G-00000-00,crime_query_results_1770.json
5V27-50X1-DYNS-31P9-00000-00,crime_query_results_1770.json
5RHD-V301-DYNS-33Y8-00000-00,crime_query_results_1770.json
5SN6-9VX1-JC6P-C39X-00000-00,crime_query_results_1770.json
5RC9-RS21-DYNS-31PC-00000-00,crime_query_results_1770.json
